2010,2011,2012,2013,2014,2015,2016,2017
Chelsea,Manchester United,Manchester City,Manchester United,Manchester City,Chelsea,Leicester City,Chelsea
Manchester United,Chelsea,Manchester United,Manchester City,Liverpool,Manchester City,Arsenal,Tottenham Hotspur
Arsenal,Manchester City,Arsenal,Chelsea,Chelsea,Arsenal,Tottenham Hotspur,Manchester City
Bayern München,Borussia Dortmund,Borussia Dortmund,Bayern München,Bayern München,Bayern München,Bayern München,Bayern München
Schalke 04,Bayer Leverkusen,Bayern München,Borussia Dortmund,Borussia Dortmund,Werder Bremen,Borussia Dortmund,RB Leipzig
Werder Bremen,Bayern München,Schalke 04,Bayer Leverkusen,Schalke 04,Borussia M'gladbach,Bayer Leverkusen,Borussia Dortmund
Olympique Marseille,Lille,Montpellier,PSG,PSG,PSG,PSG,Monaco
Olympique Lyonnais,Olympique Marseille,PSG,Olympique Marseille,Monaco,Olympique Lyonnais,Olympique Lyonnais,PSG
Auxerre,Olympique Lyonnais,Lille,Olympique Lyonnais,Lille,Monaco,Monaco,Nice
Barcelona,Barcelona,Real Madrid,Barcelona,Atlético Madrid,Barcelona,Barcelona,Real Madrid
Real Madrid,Real Madrid,Barcelona,Real Madrid,Barcelona,Real Madrid,Real Madrid,Barcelona
Valencia,Valencia,Valencia,Atlético Madrid,Real Madrid,Atlético Madrid,Atlético Madrid,Atlético Madrid
