group,team,free_info_GS,free_info_Google,sportmonks,datafactory
A,Egypt,TRUE,FALSE,FALSE,FALSE
A,Russia,TRUE,INCOMPLETE,TRUE,FALSE
A,Saudi Arabia,TRUE,TRUE*,FALSE,FALSE
A,Uruguay,TRUE,TRUE,FALSE,TRUE
B,Iran,TRUE,TRUE*,FALSE,FALSE
B,Morocco,TRUE,FALSE,FALSE,FALSE
B,Portugal,TRUE,INCOMPLETE,TRUE,FALSE
B,Spain,TRUE,INCOMPLETE,TRUE,FALSE
C,Australia,TRUE,TRUE*,FALSE,FALSE
C,Denmark,TRUE,INCOMPLETE,TRUE,FALSE
C,France,TRUE,INCOMPLETE,TRUE,FALSE
C,Peru,TRUE,TRUE,FALSE,TRUE
D,Argentina,TRUE,TRUE,FALSE,TRUE
D,Croatia,TRUE,INCOMPLETE,TRUE,FALSE
D,Iceland,TRUE,INCOMPLETE,TRUE,FALSE
D,Nigeria,TRUE,FALSE,FALSE,FALSE
E,Brazil,TRUE,TRUE,FALSE,TRUE
E,Costa Rica,TRUE,FALSE,FALSE,TRUE
E,Switzerland,TRUE,INCOMPLETE,TRUE,FALSE
E,Serbia,TRUE,INCOMPLETE,TRUE,FALSE
F,Germany,TRUE,INCOMPLETE,TRUE,FALSE
F,South Korea,TRUE,TRUE*,FALSE,FALSE
F,Mexico,TRUE,FALSE,FALSE,TRUE
F,Sweden,TRUE,INCOMPLETE,TRUE,FALSE
G,Belgium,TRUE,INCOMPLETE,TRUE,FALSE
G,England,TRUE,INCOMPLETE,TRUE,FALSE
G,Panama,TRUE,FALSE,FALSE,TRUE
G,Tunisia,TRUE,FALSE,FALSE,FALSE
H,Colombia,TRUE,TRUE,FALSE,TRUE
H,Japan,TRUE,TRUE*,FALSE,FALSE
H,Poland,TRUE,INCOMPLETE,TRUE,FALSE
H,Senegal,TRUE,FALSE,FALSE,FALSE
