,team_name,op_team_name,predicted,expected,winner,points
0,Uruguay,Argentina,33.995102015696894,Argentina,Argentina,0.0
1,Peru,Bolivia,67.53164484139093,Peru,Peru,3.0
2,Ecuador,Brasil,26.03416474988867,Brasil,Brasil,0.0
3,Paraguay,Chile,65.19613338454847,Paraguay,Paraguay,3.0
4,Venezuela,Colombia,18.41966038776436,Colombia,Colombia,0.0
5,Venezuela,Argentina,25.165172820624875,Argentina,draw,1.0
6,Chile,Bolivia,80.64453202636297,Chile,Chile,3.0
7,Colombia,Brasil,21.99530011916257,Brasil,Brasil,0.0
8,Peru,Ecuador,76.56376222746563,Peru,Peru,3.0
9,Uruguay,Paraguay,65.06998461450456,Uruguay,Uruguay,3.0
10,Peru,Argentina,60.95724690548319,Peru,draw,1.0
11,Brasil,Bolivia,93.32299675190707,Brasil,Brasil,3.0
12,Ecuador,Chile,53.93447423630116,Ecuador,Ecuador,3.0
13,Paraguay,Colombia,48.712492816510796,Colombia,Colombia,0.0
14,Venezuela,Uruguay,21.089313371058406,Uruguay,Uruguay,0.0
15,Paraguay,Argentina,18.763101673629812,Argentina,Paraguay,3.0
16,Ecuador,Bolivia,62.6938200301857,Ecuador,draw,1.0
17,Venezuela,Brasil,9.880546034721474,Brasil,Brasil,0.0
18,Peru,Chile,42.37595854654973,Chile,Chile,0.0
19,Uruguay,Colombia,40.27002515421288,Colombia,draw,1.0
20,Brasil,Argentina,86.62716341044958,Brasil,Brasil,3.0
21,Venezuela,Bolivia,67.68836203921215,Venezuela,Venezuela,3.0
22,Colombia,Chile,64.46363911760446,Colombia,draw,1.0
23,Uruguay,Ecuador,83.48917953927815,Uruguay,Uruguay,3.0
24,Peru,Paraguay,47.686092952905874,Paraguay,Peru,3.0
25,Colombia,Argentina,43.23556054248789,Argentina,Argentina,0.0
26,Paraguay,Bolivia,54.712354344476346,Paraguay,Bolivia,0.0
27,Peru,Brasil,28.780817033068224,Brasil,Brasil,0.0
28,Uruguay,Chile,42.32666771959938,Chile,Chile,0.0
29,Venezuela,Ecuador,45.13377200591036,Ecuador,Ecuador,0.0
30,Chile,Argentina,44.495314463864666,Argentina,Argentina,0.0
31,Colombia,Bolivia,83.05795813460422,Colombia,Colombia,3.0
32,Uruguay,Brasil,13.405849368436895,Brasil,Brasil,0.0
33,Paraguay,Ecuador,50.06089167569375,Paraguay,Paraguay,3.0
34,Venezuela,Peru,41.399277253521475,Peru,draw,1.0
35,Bolivia,Argentina,44.305174152388545,Argentina,Bolivia,3.0
36,Paraguay,Brasil,5.110165894728925,Brasil,Brasil,0.0
37,Venezuela,Chile,21.944831326325964,Chile,Chile,0.0
38,Ecuador,Colombia,50.616797645949696,Ecuador,Colombia,0.0
39,Uruguay,Peru,49.66858571849704,Peru,Peru,0.0
40,Uruguay,Argentina,65.59241925745314,Uruguay,draw,1.0
41,Peru,Bolivia,72.18710926617379,Peru,Peru,3.0
42,Ecuador,Brasil,7.295556889862049,Brasil,Brasil,0.0
43,Paraguay,Chile,13.378927756456871,Chile,Paraguay,3.0
44,Venezuela,Colombia,30.50936900543222,Colombia,draw,1.0
45,Venezuela,Argentina,31.197790276261987,Argentina,draw,1.0
46,Colombia,Brasil,46.39640087374546,Brasil,draw,1.0
47,Chile,Bolivia,47.39009928089899,Bolivia,Bolivia,0.0
48,Peru,Ecuador,58.07369129187312,Peru,Peru,3.0
49,Uruguay,Paraguay,52.99085681748882,Uruguay,Uruguay,3.0
50,Peru,Argentina,39.34076765902897,Argentina,draw,1.0
51,Brasil,Bolivia,77.9731737240012,Brasil,draw,1.0
52,Ecuador,Chile,30.385927347850394,Chile,Chile,0.0
53,Paraguay,Colombia,7.693248835297547,Colombia,Paraguay,3.0
54,Venezuela,Uruguay,63.42714654091942,Venezuela,draw,1.0
55,Ecuador,Argentina,62.64905355962581,Ecuador,NA,
56,Uruguay,Bolivia,62.64905355962581,Uruguay,NA,
57,Chile,Brasil,37.35094644037419,Brasil,NA,
58,Peru,Colombia,62.64905355962581,Peru,NA,
59,Venezuela,Paraguay,37.35094644037419,Paraguay,NA,
